['/home/kali/Desktop/keke', '/usr/lib/python36.zip', '/usr/lib/python3.6', '/usr/lib/python3.6/lib-dynload', '/home/kali/.virtualenvs/keke/lib/python3.6/site-packages', '/home/kali/.virtualenvs/keke/lib/python3.6/site-packages/setuptools-39.0.1-py3.6.egg']
Sat Sep 22 14:40:01 2018: generate_insert_data----
Sat Sep 22 14:45:02 2018: generate_insert_data----
Sat Sep 22 14:50:01 2018: generate_insert_data----
Sat Sep 22 14:55:02 2018: generate_insert_data----
Sat Sep 22 15:00:02 2018: generate_insert_data----
Sat Sep 22 15:05:02 2018: generate_insert_data----
Sat Sep 22 15:10:02 2018: generate_insert_data----
Sat Sep 22 15:15:01 2018: generate_insert_data----
Sat Sep 22 15:20:02 2018: generate_insert_data----
Sat Sep 22 15:25:02 2018: generate_insert_data----
Sat Sep 22 15:30:02 2018: generate_insert_data----
Sat Sep 22 15:35:02 2018: generate_insert_data----
Sat Sep 22 15:40:02 2018: generate_insert_data----
Sat Sep 22 15:45:02 2018: generate_insert_data----
Sat Sep 22 15:50:02 2018: generate_insert_data----
Sat Sep 22 15:55:02 2018: generate_insert_data----
Sat Sep 22 16:00:02 2018: generate_insert_data----
Sat Sep 22 16:05:02 2018: generate_insert_data----
Sat Sep 22 16:10:03 2018: generate_insert_data----
Sat Sep 22 16:15:02 2018: generate_insert_data----
Sat Sep 22 16:20:01 2018: generate_insert_data----
Sat Sep 22 16:25:02 2018: generate_insert_data----
Sat Sep 22 16:30:02 2018: generate_insert_data----
Sat Sep 22 16:35:02 2018: generate_insert_data----
Sat Sep 22 16:40:02 2018: generate_insert_data----
Sat Sep 22 16:45:02 2018: generate_insert_data----
Sat Sep 22 16:50:02 2018: generate_insert_data----
Sat Sep 22 16:55:01 2018: generate_insert_data----
Sat Sep 22 17:00:02 2018: generate_insert_data----
Sat Sep 22 17:05:02 2018: generate_insert_data----
Sat Sep 22 17:10:01 2018: generate_insert_data----
Sat Sep 22 17:15:02 2018: generate_insert_data----
Sat Sep 22 17:20:02 2018: generate_insert_data----
Sat Sep 22 17:25:02 2018: generate_insert_data----
Sat Sep 22 17:30:02 2018: generate_insert_data----
Sat Sep 22 17:35:02 2018: generate_insert_data----
Sat Sep 22 17:40:01 2018: generate_insert_data----
Sat Sep 22 17:45:01 2018: generate_insert_data----
Sat Sep 22 17:50:01 2018: generate_insert_data----
Sat Sep 22 17:55:01 2018: generate_insert_data----
Sat Sep 22 18:00:02 2018: generate_insert_data----
Sat Sep 22 18:05:02 2018: generate_insert_data----
Sat Sep 22 18:10:02 2018: generate_insert_data----
Sat Sep 22 18:15:02 2018: generate_insert_data----
Sat Sep 22 18:20:02 2018: generate_insert_data----
Sat Sep 22 18:25:01 2018: generate_insert_data----
Sat Sep 22 18:30:01 2018: generate_insert_data----
Sat Sep 22 18:35:02 2018: generate_insert_data----
Sat Sep 22 18:40:02 2018: generate_insert_data----
Sat Sep 22 18:45:02 2018: generate_insert_data----
Sat Sep 22 18:50:02 2018: generate_insert_data----
Sat Sep 22 18:55:01 2018: generate_insert_data----
Sat Sep 22 19:00:01 2018: generate_insert_data----
Sat Sep 22 19:05:02 2018: generate_insert_data----
Sat Sep 22 19:10:01 2018: generate_insert_data----
Sat Sep 22 19:15:01 2018: generate_insert_data----
Sat Sep 22 19:20:01 2018: generate_insert_data----
Sat Sep 22 19:25:02 2018: generate_insert_data----
Sat Sep 22 19:30:02 2018: generate_insert_data----
Sat Sep 22 19:35:01 2018: generate_insert_data----
Insert  Data Error !!! (1264, "Out of range value for column 'netout' at row 1")
Sat Sep 22 19:40:02 2018: generate_insert_data----
Insert  Data Error !!! (1264, "Out of range value for column 'netout' at row 1")
Sat Sep 22 20:00:02 2018: generate_insert_data----
Insert  Data Error !!! (1264, "Out of range value for column 'netout' at row 1")
Sat Sep 22 20:10:02 2018: generate_insert_data----
Insert  Data Error !!! (1264, "Out of range value for column 'netout' at row 1")
Sat Sep 22 20:15:02 2018: generate_insert_data----
Sat Sep 22 20:20:02 2018: generate_insert_data----
Sat Sep 22 20:25:02 2018: generate_insert_data----
Sat Sep 22 20:30:01 2018: generate_insert_data----
Sat Sep 22 20:35:01 2018: generate_insert_data----
